name,MolecularFormula,ccs,MW,WPATH,WPOL,MLogP,SC.3,nAtom,MDEC.12,MDEC.23,AMR,Wlambda1.unity,WT.unity,WV.unity,bpol,VABC,ECCEN,VAdjMat,apol,LipinskiFailures,Zagreb,WTPT.1,WTPT.4,SP.0,SP.1,SP.2,SP.3,SP.4,SP.5,SP.6,SP.7,VP.0,VP.1,VP.2,VP.3,VP.4,VP.5,VP.6,VP.7,nRotB,MOMI.X,MOMI.Y,MOMI.Z,MOMI.R,ATSc1,PPSA.1,PPSA.2,PPSA.3,PNSA.2,DPSA.2,FPSA.2,WPSA.1,WPSA.2,WPSA.3,WNSA.1,WNSA.2,WNSA.3,RPCG,RNCG,THSA,GRAV.1,GRAV.2,GRAVH.1,GRAVH.2,GRAVH.3,GRAV.4,GRAV.5,GRAV.6,C1SP3,C2SP3,SPC.4,SPC.5,SPC.6,ATSm2,ATSm3,ATSm4,fragC,Kier1,Kier2,Kier3,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,nB
alpha-PVP,C15H21NO,5.051073215,-0.585321038,-0.402289208,-0.536478237,0.339362375,-0.894863772,-0.184917346,-0.153761692,-0.030176224,-0.368301735,-0.150192675,-0.42886775,-0.27504142,-0.174258967,-0.340199796,-0.513054037,-0.328139899,-0.252629108,-0.511659629,-0.498397721,-0.455257183,-0.665688897,-0.523409931,-0.42023128,-0.58550075,-0.436928757,-0.357936275,-0.463213569,-0.548407346,-0.514652757,-0.424979974,-0.270159072,-0.383866874,-0.260854544,-0.151597479,-0.252623106,-0.259739471,-0.274073277,-0.070884445,-0.441165115,-0.454115555,-0.258573469,-0.417669404,-0.671529108,0.02933494,-0.369110007,-0.624320119,0.713474693,-0.484406133,-0.372238017,-0.241608556,-0.335183744,-0.493289803,-0.7869739,0.533136445,0.853096288,0.033149332,0.550920505,0.055870346,-0.688200304,-0.651443587,-0.621004049,-0.567906496,-0.500752006,-0.589005586,-0.581545398,-0.524282583,0.078982792,0.382839241,-0.628647234,-0.52085753,-0.484863248,-0.694033141,-0.741096833,-0.660062418,-0.231313592,-0.521611307,-0.300096272,-0.411361748,-0.411978204,-0.418830751,-0.438172609,-0.452846709,-0.343288504,-0.444893616
"3,4-dimethoxy-alpha-PVP",C17H25NO3,5.172300526,-0.154486352,-0.246161144,-0.08822498,0.339362375,-0.628632817,0.182781548,0.610471042,0.236495758,0.002839009,0.163134222,-0.159280493,-0.096854134,0.321774985,0.048261957,-0.23056088,0.15149648,0.092910498,-0.511659629,-0.119001932,-0.049462403,0.024084132,-0.074692902,-0.00344676,-0.23791394,-0.024309417,0.010520587,-0.130168549,-0.141591938,-0.169294481,0.018086276,0.02051548,-0.169062727,-0.023013369,0.034732375,-0.094616481,-0.098742727,-0.136222629,0.335897755,-0.2581611,-0.275233562,-0.119877077,0.034318263,0.146483525,0.566978355,0.007362522,-0.165311258,0.575021641,-0.150414663,0.217087335,0.160909365,-0.112317112,-0.158838847,-0.696395689,0.423477176,0.476115191,-0.73955593,-0.031221418,0.375571543,-0.202674835,-0.102275923,-0.140225648,-0.03218973,0.011867426,-0.20283005,-0.091760173,-0.032450553,0.078982792,0.382839241,-0.263073668,-0.18873073,-0.226181585,-0.260938858,-0.369718898,-0.251883775,-0.017229182,-0.038974285,0.060131351,-0.242567343,-0.123190877,-0.135629058,-0.163149679,-0.15332162,-0.055922334,-0.058217097
Thiothinone,C8H11NOS,4.906681196,-1.031122311,-0.536006544,-1.034537411,-0.78074166,-0.94842976,-0.920315133,-0.518580611,-1.031408299,-1.027790288,-0.419926264,-0.615128037,-0.410895391,-0.779178421,-0.997596608,-0.822805304,-1.502422068,-0.965858294,-0.511659629,-1.105430984,-1.12637932,-0.67431106,-1.077792584,-1.106699902,-1.148042562,-0.964454748,-1.070489217,-1.234285191,-1.098070437,-1.041470466,-0.963475878,-0.901338098,-0.838024212,-0.662455216,-0.667587846,-0.839775724,-0.723543565,-0.684060118,-0.477666644,-0.561296584,-0.533370215,-0.503994032,-1.06269347,-0.695509935,-0.827349624,-0.611371786,-0.88375991,0.693695686,-0.668862548,-0.777960918,-0.698442149,-0.458617571,-0.723884936,-0.782206626,0.567783392,0.712610823,0.775552426,1.575490291,-0.782591284,-1.108989044,-1.179075265,-1.10178245,-1.186041227,-1.115895324,-0.943656589,-1.11073863,-1.11448102,-0.644297926,-0.421328692,-0.723696361,-0.763983031,-0.770774561,-0.998803191,-0.956897525,-0.891731378,-0.57860608,-1.041652698,-0.842461458,-0.686193664,-0.871526733,-0.859816244,-0.833438123,-0.878716927,-0.819653194,-1.121577525
N-Desmethyl Clarithromycin,C37H67NO13,5.572838209,3.02020589,2.666112797,3.447995156,1.739492418,3.164958423,3.49207159,1.610578077,0.127402674,2.883462169,-1.389877354,-1.170232708,-0.495285332,3.654881175,3.312834764,1.87326973,2.251973035,3.233776913,1.851197712,3.029983117,2.973188457,3.439692367,3.341346418,2.983137503,3.061874004,3.323652569,2.607989215,2.183046316,1.832387373,1.68042103,3.39220618,3.007542538,3.059136731,3.053325757,2.609906519,1.90890752,1.619668123,1.389641442,0.539288855,-0.674691709,-0.6416932,-0.610718204,-3.270841549,3.594393452,-2.174412248,-0.837710256,-2.101131236,1.072793329,-0.950919688,-1.490543861,-1.095140534,-0.530822326,-1.10938367,-1.53225778,0.707043936,1.141832747,-2.436477289,-2.546074529,-2.712862663,-2.319067907,-4.538689214,-2.320499792,-4.585782244,-6.395875469,-1.664780294,-3.52025675,-5.114714865,3.333746024,1.991175107,3.878874825,3.395199648,3.089028158,2.61031583,2.786993547,2.94735424,3.990906721,3.339484868,2.025193272,0.973617987,2.990689869,2.898674793,2.753372556,2.994414776,3.458786977,2.938525927
MDPV,C16H21NO3,5.117754263,-0.269559829,-0.295091231,-0.237642732,0.199349371,-0.628632817,-0.04703026,-0.200936553,0.418317563,-0.202715865,-0.193785982,-0.263439206,-0.207529466,0.055610425,-0.175850592,-0.290033124,0.15149648,-0.102009279,-0.511659629,-0.081062353,-0.101487375,0.093061435,-0.262864559,-0.094827323,-0.212759631,0.001805731,0.114053921,-0.061387513,-0.016773574,0.018018482,-0.203446849,-0.045924418,-0.169062727,-0.026912405,0.063398507,-0.081975951,-0.073717326,-0.095818128,-0.070884445,-0.297456441,-0.298836047,-0.231104378,-0.102219678,0.130496307,0.141590158,-0.150733193,-0.235160433,0.449754594,-0.240852032,0.011658018,-0.120368219,-0.217195527,-0.261814536,-0.53113018,0.380420776,0.322922497,-0.663800512,-0.159292642,-0.010482732,-0.202674835,-0.102275923,-0.18494922,-0.083700957,-0.039394517,-0.246176284,-0.14242761,-0.098028157,0.078982792,0.382839241,-0.299631025,-0.210438364,-0.257495681,-0.260938858,-0.284402346,-0.391620608,-0.144094018,-0.340622424,-0.29402502,-0.454642364,-0.18597073,-0.165972097,-0.169545561,-0.240456191,-0.149868966,-0.058217097
Rebaudioside B,C38H60O18,5.565248112,3.529249697,3.887497406,4.493919422,1.319453405,3.308867048,3.400146867,1.324383925,2.624422137,2.912011457,2.778732667,0.821036807,1.510705077,2.977371387,3.320305182,3.211395207,2.615835115,3.233776913,3.032626382,4.054351748,3.701538063,5.040951185,3.616366533,3.607199886,3.747900603,4.420488789,4.221891176,4.174076325,4.527539452,4.536943719,3.187714065,3.395108607,3.672862864,4.223036451,4.38720667,4.54445802,4.789552214,4.824023968,0.946071054,1.885119041,1.793089478,2.419888022,1.719855603,4.58027187,2.280347482,5.338259037,5.442579604,-3.970853577,5.281199969,5.712321559,2.440227714,4.763520735,5.324396567,1.741270562,-4.271352318,-3.482186333,-1.878917414,-1.910375548,0.520341897,3.494788357,2.826618289,3.672458881,2.955461467,2.574964584,4.246069749,3.404292988,2.984119232,1.887184588,3.599510972,4.683136668,4.632534787,4.64111814,3.412342279,3.810792177,3.976994061,3.95126146,3.182627836,1.64068064,0.404477877,3.756604085,3.940452449,4.192446027,4.290541527,4.06115068,3.808548096
R(+)-Methcathinone,C10H13NO,4.920053916,-1.0738778,-0.519198499,-0.885119659,-0.360702647,-0.94842976,-0.782428048,-0.285851301,-0.758675591,-0.993531142,-0.462157281,-0.585718518,-0.400104546,-0.785227615,-0.893010751,-0.760855051,-1.303951842,-0.877258395,-0.511659629,-1.029551826,-1.011924382,-0.673079323,-0.976469383,-0.99526019,-1.068006125,-0.899166878,-1.015677452,-1.013461862,-1.04352019,-0.932594806,-0.975404585,-1.000997945,-1.009867529,-0.892498319,-0.923671954,-0.871377049,-0.809464107,-0.728029721,-0.477666644,-0.551192068,-0.521693196,-0.50669591,-0.959112963,-0.732813442,-0.644196372,-0.557914962,-0.734083107,0.710178192,-0.632150349,-0.649567595,-0.623273139,-0.437843577,-0.656994745,-0.841003009,0.568456148,0.733789536,0.427077504,1.261133652,-0.680045617,-1.165011214,-1.265219213,-1.135325129,-1.227250209,-1.167157267,-0.987002822,-1.183924928,-1.180058624,-0.644297926,-0.421328692,-0.723696361,-0.763983031,-0.739460465,-1.183269274,-1.157642354,-0.924826944,-0.531428219,-0.91978685,-0.688656405,-0.562843906,-0.980763679,-0.965005444,-0.922340884,-0.850398192,-0.83844252,-1.024908395
JWH-250,C22H25NO2,5.234205421,0.161384358,-0.01196905,0.260416442,1.179440401,-0.512706425,0.366630995,0.468946461,1.266819322,0.513871264,0.871525468,0.398274972,0.279441998,0.206840289,0.294785762,0.213002935,0.631132858,0.447310094,0.669769042,0.336273015,0.42396484,-0.319570645,0.272700927,0.442312085,0.203429839,0.367417805,0.485555881,0.543161599,0.500991491,0.48044736,0.324824449,0.369324941,0.104045402,0.18363552,0.182840721,0.170834648,0.12648588,0.152550712,0.539288855,0.031501695,0.047747814,0.03773246,0.646384895,-0.338462075,0.797396962,0.047170796,0.213869974,0.327784048,-0.055500197,0.050176015,0.490683084,-0.020548499,0.219618814,-0.01944274,0.212568091,0.459878177,-0.785009181,0.085206966,1.033070232,0.257951893,0.360747795,0.284648288,0.37990009,0.421962971,0.073009619,0.217874165,0.262648665,-0.282657567,0.181797258,-0.168024541,-0.021581948,-0.016513289,0.083932515,-0.053545792,-0.042278526,0.105671128,0.250607928,0.305005184,-0.117053554,0.366491983,0.349859558,0.297353831,0.238783952,0.248022654,0.425128552
JWH-201,C22H25NO2,5.257703684,0.161384358,0.014176798,0.210610524,1.179440401,-0.448747036,0.366630995,0.399756667,1.303183683,0.513871264,0.217625856,0.575957482,0.262840698,0.206840289,0.294785762,0.379029615,0.631132858,0.447310094,0.669769042,0.336273015,0.42396484,-0.320802382,0.272700927,0.442312085,0.226297393,0.362194775,0.421608823,0.506961054,0.510237296,0.527275601,0.324824449,0.369324941,0.116319925,0.175837449,0.139841524,0.151873853,0.14316948,0.160869285,0.539288855,0.167351301,0.175698128,-0.016305096,0.815880269,-0.335797539,0.791488793,0.042621279,0.213869974,0.301412038,-0.046546002,0.024497351,0.495532697,-0.020548499,0.219618814,0.048888191,0.192385404,0.2735055,-0.785009181,0.085206966,0.972749251,0.257951893,0.360747795,0.284648288,0.37990009,0.421962971,0.029663385,0.172836443,0.229859863,-0.282657567,0.181797258,-0.193614691,-0.09972943,-0.091394823,0.083932515,-0.053545792,-0.093760517,0.105671128,0.250607928,0.305005184,-0.073772937,0.341380041,0.31951652,0.258978539,0.178878934,0.176181111,0.425128552
JWH-147,C27H27NO,5.327390614,0.491723505,0.264429913,0.609057864,2.019518427,-0.408772418,0.642405165,-0.075136925,2.381993063,1.056307737,2.233816324,0.367640056,0.398417981,0.224987872,0.638425005,0.592138487,1.044612495,0.859299623,0.669769042,0.791547962,0.886987089,-0.660761947,0.634569499,0.910358873,0.637913352,0.816598352,0.942320587,1.039109074,0.912429802,1.007265069,0.665644641,0.820562579,0.478418343,0.526750657,0.498168167,0.493168162,0.326689086,0.379528934,0.539288855,0.119074168,0.181909308,0.249379551,0.768798221,-0.746136124,0.773764284,0.046033417,0.273740695,0.004726925,0.034041752,-0.078217308,0.616773035,0.023823138,0.36924161,0.803706619,-0.063261971,0.146433219,-0.542591844,-0.392149411,1.31657884,0.656331765,0.716091578,0.653617758,0.730176438,0.72953463,0.400076654,0.555657079,0.590536685,-0.282657567,0.181797258,0.011106505,0.160762178,0.199962419,0.428803888,0.262627315,0.189390434,0.331649116,0.540190141,0.547855267,0.012788296,0.918954696,0.885919905,0.777044989,0.67445681,0.745387179,0.908474201
