name,MolecularFormula,ccs,MW,WPATH,WPOL,MLogP,SC.3,nAtom,MDEC.12,MDEC.23,AMR,Wlambda1.unity,WT.unity,WV.unity,bpol,VABC,ECCEN,VAdjMat,apol,LipinskiFailures,Zagreb,WTPT.1,WTPT.4,SP.0,SP.1,SP.2,SP.3,SP.4,SP.5,SP.6,SP.7,VP.0,VP.1,VP.2,VP.3,VP.4,VP.5,VP.6,VP.7,nRotB,MOMI.X,MOMI.Y,MOMI.Z,MOMI.R,ATSc1,PPSA.1,PPSA.2,PPSA.3,PNSA.2,DPSA.2,FPSA.2,WPSA.1,WPSA.2,WPSA.3,WNSA.1,WNSA.2,WNSA.3,RPCG,RNCG,THSA,GRAV.1,GRAV.2,GRAVH.1,GRAVH.2,GRAVH.3,GRAV.4,GRAV.5,GRAV.6,C1SP3,C2SP3,SPC.4,SPC.5,SPC.6,ATSm2,ATSm3,ATSm4,fragC,Kier1,Kier2,Kier3,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,nB
Tepraloxydim,C17H24ClNO4,5.223081836,0.204099908,-0.11281732,0.061192772,0.059336366,-0.560675966,0.22874391,-0.317301208,0.5395321,0.202684025,0.721673473,0.134814697,-0.063651534,0.158446732,0.309726598,0.138662631,0.349966705,0.194800382,-0.511659629,0.032756384,0.163839981,0.384983235,0.142428241,0.219432663,-0.029819205,0.02792088,0.156685293,0.094274834,-0.044510988,0.023872012,0.188496372,0.261360108,0.039604158,0.18363552,0.197173787,0.196115708,0.043067877,0.125218256,0.132506655,0.166228577,0.26638136,-0.186523395,0.627552075,0.082534655,0.289294393,0.008499901,-0.135375898,-0.094168112,0.034041752,0.063015347,0.146360524,-0.069962368,-0.044421415,0.406433762,-0.026260377,-0.721894028,-0.588045094,-0.066149934,0.423828328,0.058761957,0.177691906,0.094573106,0.204761917,0.216915198,-0.033385682,0.099650145,0.164282259,0.440623151,0.382839241,-0.350811324,-0.149656988,-0.152661533,0.067891986,-0.148899586,-0.071696806,-0.013264656,0.1902783,0.365717705,0.025772481,0.077704655,0.046429173,-0.035232038,0.015501613,0.049076844,0.135121163
4-chloro-N-ethyl-Pentedrone,C13H18ClNO,5.058663263,-0.528288716,-0.421338325,-0.586284154,-0.080676638,-0.773340933,-0.368766792,0.151302403,-0.090783492,-0.462514385,-0.054832315,-0.404359818,-0.26508064,-0.428325138,-0.392492724,-0.537834138,-0.609306052,-0.398818941,-0.511659629,-0.688095616,-0.606129602,-0.666920635,-0.537884674,-0.562874111,-0.706698783,-0.653684486,-0.67767157,-0.629736079,-0.67322571,-0.769866669,-0.424979974,-0.4251855,-0.558778821,-0.561080289,-0.533812566,-0.480152646,-0.477460458,-0.559281514,0.132506655,-0.360328986,-0.342314309,-0.301803513,-0.154009932,-0.671529108,-0.266073531,-0.429391107,-0.833867642,0.462940599,-0.463811485,-0.549420803,-0.328901599,-0.354344224,-0.562820397,-0.240326449,0.40295811,0.435875635,0.002847165,0.678991729,0.07396664,-0.76289653,-0.726819541,-0.710451194,-0.681231197,-0.603275892,-0.648114087,-0.660361411,-0.622648989,0.078982792,-0.019244725,-0.635958705,-0.642420281,-0.591058879,-0.71007367,-0.700947867,-0.553421151,-0.363728765,-0.437149828,-0.190813735,-0.207942849,-0.547582688,-0.58066029,-0.604465544,-0.545427191,-0.520129224,-0.638231876
Medroxyprogesterone 17 acetate,C26H33FO7,5.299666456,1.173722749,0.496007423,2.202847221,1.039427397,2.069653892,1.147991144,1.472198487,0.891054257,1.056307737,1.266589816,0.030655984,0.138330949,0.975087995,1.295821817,0.753209146,1.39193539,1.147249295,-0.511659629,1.664158277,1.323996852,1.271834273,1.387256129,1.222390064,1.598350591,1.782858831,1.755361764,1.965843042,2.165236343,2.213092269,1.245038968,1.180445357,1.524821399,2.016182275,2.289801384,2.566215079,2.687418554,2.958286748,0.132506655,0.227978397,0.239052167,0.312423366,0.509846954,1.37749928,0.667417235,0.709125516,0.074171625,-0.88203191,0.804102514,1.051643934,0.514931151,0.41812564,0.210817473,0.756033877,-0.668742597,-1.230183148,-1.056213577,-0.985934173,0.315250563,1.229002832,1.211419275,1.24620509,1.234986467,1.139630175,1.448267395,1.484560093,1.410256735,1.16390387,0.382839241,2.928383555,3.156415674,3.633621134,1.054384519,1.497208017,1.71546374,0.771711515,1.119354568,0.159295135,-0.335620669,1.873208473,2.0895271,2.478349626,2.743902883,2.607741012,1.39181985
Aclonifen,C12H9ClN2O3,5.049856007,-0.349393917,-0.360829363,-0.28744865,-0.640728656,-0.440752112,-0.690503324,-0.88654452,-0.211998029,-0.453949599,-0.170627038,-0.385978868,-0.336742918,-0.966703452,-0.54190109,-0.364373428,-0.195826415,-0.624748683,-0.511659629,-0.346639405,-0.356409737,-0.004245831,-0.378662502,-0.36228263,-0.368258994,-0.269791809,-0.290944119,-0.332891605,-0.405097373,-0.350753914,-0.540858839,-0.613431876,-0.666180895,-0.580575467,-0.624588649,-0.602765787,-0.625944502,-0.5818605,-0.477666644,-0.354715366,-0.353494434,-0.282440056,-0.285839668,-0.631561064,-0.945513012,-0.535167377,-0.514557131,0.047581442,-0.434262642,-0.730455389,-0.642186632,-0.40980877,-0.48184806,0.199851877,0.23611456,0.231148073,-0.709253763,0.248206705,-0.14318889,-0.190225463,-0.080739936,-0.296758151,-0.197025658,-0.141918404,-0.218592317,-0.108649318,-0.065239355,-1.005938285,-0.622370675,-0.24479499,-0.269048976,-0.287448295,-0.349161767,-0.289420966,-0.068019521,-0.537375008,-0.400952052,-0.374975048,-0.400541594,-0.474758058,-0.44917379,-0.431776727,-0.409279423,-0.470392772,-0.348224486
Barban,C11H9Cl2NO2,5.038250461,-0.399849408,-0.394071941,-0.785507824,-0.640728656,-0.799724181,-0.782428048,-0.88654452,-0.578065931,-0.585276324,-1.028870277,-0.067375746,-0.346980386,-0.882014728,-0.512019417,-0.39906557,-0.609306052,-0.691198607,-0.511659629,-0.726035194,-0.595724607,-0.304789794,-0.56683416,-0.556187728,-0.681544474,-0.794706285,-0.747708825,-0.78901848,-0.719454734,-0.737672254,-0.55960395,-0.635578508,-0.807337905,-0.880801212,-0.82047388,-0.822078982,-0.726880285,-0.706639103,-0.274275544,-0.058316226,0.012965204,-0.489584017,0.006069034,-0.109311956,-0.892339487,-0.507870275,-0.324966514,-0.110650618,-0.368897019,-0.724035722,-0.581081502,-0.388631398,-0.34630741,0.549451991,0.118382216,-0.128890054,1.457351187,-0.01957858,-0.088900007,-0.501459739,-0.425315725,-0.576280477,-0.516395269,-0.449490063,-0.541718786,-0.513988815,-0.458704979,-0.282657567,-0.622370675,-0.939384764,-0.852984331,-0.808896069,-0.501546793,-0.58551959,-0.630644138,-0.574245101,-0.437149828,-0.03093743,0.214043164,-0.756011802,-0.786992952,-0.815529653,-0.785047263,-0.737311733,-0.638231876
buturon,C12H13ClN2O,5.038250461,-0.550081643,-0.414615107,-0.586284154,-0.360702647,-0.496716578,-0.598578601,0.056952683,-0.550186588,-0.559581965,-0.091614168,-0.361470936,-0.328718956,-0.640046947,-0.482137744,-0.480839905,-0.609306052,-0.576018739,-0.511659629,-0.650156037,-0.616534596,-0.673079323,-0.523409931,-0.596306024,-0.624375591,-0.546612379,-0.790340197,-0.778158316,-0.839650195,-0.742355078,-0.535746537,-0.679871773,-0.675386787,-0.654657144,-0.839584635,-0.780365233,-0.722709385,-0.681683383,-0.274275544,-0.331138161,-0.275233562,-0.47022056,-0.38471197,-0.532973223,-0.661920881,-0.480573173,-0.494600224,0.218999506,-0.43784432,-0.626456797,-0.513186913,-0.38258072,-0.448402965,0.032997277,0.300026404,0.358220353,1.017969763,-0.066149934,-0.088900007,-0.601054707,-0.543763653,-0.621004049,-0.567906496,-0.500752006,-0.565362186,-0.547767107,-0.491493781,-0.644297926,-0.421328692,-0.401991623,-0.572955852,-0.580167019,-0.669972347,-0.605594073,-0.549743866,-0.488611337,-0.437149828,-0.328428782,-0.207942849,-0.619151721,-0.641346367,-0.649236719,-0.627115852,-0.647786119,-0.638231876
Chlorbufam,C11H10ClNO2,4.998562713,-0.643623373,-0.440760955,-0.785507824,-0.500715651,-0.56867089,-0.782428048,-0.279561319,-0.597460257,-0.753717123,-0.161091002,-0.349216969,-0.344213503,-0.839670366,-0.624075692,-0.555180209,-0.758158722,-0.757648531,-0.511659629,-0.763974773,-0.710179545,-0.313411957,-0.639207874,-0.692144176,-0.704412027,-0.807763859,-0.775114707,-0.857799516,-0.802666976,-0.826645911,-0.712973037,-0.815519897,-0.841092842,-0.915892533,-0.868250766,-0.864424757,-0.749403146,-0.731594824,-0.274275544,-0.394010706,-0.362190086,-0.421136447,-0.38471197,-0.325139394,-0.827349624,-0.516969309,-0.414772596,0.169551988,-0.452171032,-0.681665926,-0.600479956,-0.402749646,-0.442242026,0.042531825,0.293298841,0.294684213,1.745221774,0.143421159,-0.257798753,-0.663301562,-0.619139607,-0.710451194,-0.681231197,-0.603275892,-0.62053012,-0.620953405,-0.589860187,-0.644297926,-0.421328692,-0.785843867,-0.729250817,-0.738098982,-0.734134463,-0.665817522,-0.704189839,-0.562351523,-0.557809084,-0.35271379,-0.073772937,-0.813769268,-0.820370294,-0.809133771,-0.787225627,-0.741180124,-0.734901005
Dimefuron,C15H19ClN4O3,5.263725922,0.182387613,-0.124022684,0.11099869,-0.500715651,0.998334132,-0.001067899,-0.109731823,-0.572005204,0.054227728,0.040528045,0.398274972,-0.113455434,0.049561231,0.108025304,0.002372073,0.349966705,0.004310599,-0.511659629,0.222454278,0.127422501,0.010535019,0.243751442,0.085705009,0.386370266,0.140216016,-0.022975491,0.065314397,0.075684473,0.000457892,0.222578391,-0.076376038,0.214516106,-0.32713815,-0.443036483,-0.404309466,-0.373187955,-0.364389219,-0.070884445,-0.052702606,0.027872037,-0.258573469,0.161439794,0.330336527,0.070692125,-0.044956923,-0.344923421,-0.232621164,0.025087557,0.011658018,0.005721733,-0.111308666,-0.18524287,0.517670162,-0.08680844,-0.185366623,0.639192674,-0.892791465,0.309218465,0.307749377,0.414587762,0.262286502,0.369597845,0.370701028,0.246394553,0.398025053,0.426592675,0.078982792,-0.622370675,0.57043406,0.121688437,0.131888297,0.124033838,0.322850764,0.189390434,-0.195632857,0.1902783,-0.162481225,-0.134365801,0.102816597,0.086886558,0.105477369,-0.000836119,0.026971754,0.135121163
Dimethenamid,C12H18ClNO2S,5.051777237,-0.270115884,-0.412000522,-0.387060485,-0.500715651,-0.488721654,-0.322804431,0.078967618,-0.762312027,-0.30834823,1.648031256,-0.626769305,-0.337572983,-0.095619438,-0.302847704,-0.602262402,-0.460453383,-0.314649037,-0.511659629,-0.5363373,-0.522889647,-0.342973658,-0.393137245,-0.489323901,-0.564919952,-0.478712994,-0.415793138,-0.517514387,-0.733323441,-0.761086374,-0.15232382,-0.214792491,-0.199749034,-0.128287332,-0.027377576,-0.056694892,-0.359006894,-0.383403101,0.132506655,-0.458005975,-0.435482014,-0.164007747,-0.544790935,-0.069343912,-0.555573831,-0.435078004,-0.903716817,0.324487546,-0.430680964,-0.478804476,-0.498638072,-0.370479364,-0.634111259,-0.278464643,0.363938248,0.322922497,0.245264502,0.90020566,-0.191445674,-0.451662255,-0.371475758,-0.44210976,-0.361861586,-0.295704233,-0.254057417,-0.148057325,-0.098028157,0.80226351,-0.421328692,-0.310598232,-0.149656988,-0.137685226,-0.293019916,-0.354663036,-0.207756354,-0.349060018,-0.316490573,-0.300096272,-0.411361748,-0.135746847,-0.145743404,-0.150357915,-0.175105262,-0.083553696,-0.541562746
FENOXAPROP-ETHYL,C18H16ClNO5,5.254365479,0.34717506,0.077673857,0.11099869,0.059336366,-0.05699578,-0.04703026,-0.147471711,0.466803378,0.16842488,-0.167902456,0.563703516,-0.052584,-0.053275076,0.085614049,0.532666243,0.631132858,0.070760523,-0.511659629,0.374212594,0.413559845,0.828408754,0.301650413,0.397736201,0.363502712,0.354360231,0.34852647,0.373019035,0.246731861,0.375083818,0.222578391,0.128480313,-0.129170528,-0.249157437,-0.304483514,-0.309505491,-0.412394416,-0.385779836,0.335897755,0.358214383,0.414207451,-0.124380206,0.839421294,0.801959446,0.02342677,0.022148452,0.044236265,-0.690834837,0.204171455,0.037336683,0.049368254,-0.046768103,0.0875987,1.121524905,-0.43664169,-0.538345179,-0.224419089,-0.648291857,0.610823368,0.618983652,0.694555591,0.497085256,0.585945,0.5757488,0.317324754,0.471211351,0.492170279,0.078982792,-0.421328692,-0.062008208,-0.158340042,-0.189421559,0.388702566,0.423223179,0.112167447,-0.231313592,0.250607928,0.197746398,0.02360845,-0.035299081,-0.054714289,-0.092794976,-0.196888905,-0.216184236,0.425128552
